system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\c2031779\Desktop\Lua-Project\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00082] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00084] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01215] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.09957] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.09959] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.10089] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.10091] al_display=03100198
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.10092] al_display->vt=0317C538
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.11039] found 160 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.11041] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11043] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11043] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11044] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11045] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11046] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11046] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11047] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11048] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11049] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11050] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11050] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11051] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11052] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11053] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11054] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11054] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11055] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11056] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11057] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11057] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11058] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11059] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11064] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11065] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11066] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11067] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11067] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11068] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11069] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11070] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11070] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11071] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11072] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11073] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11074] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11074] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11075] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11076] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11077] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11077] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11078] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11079] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11080] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11080] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11081] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11082] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11083] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11083] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11084] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11085] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11086] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11086] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11087] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11088] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11089] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11090] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11091] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11091] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11092] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11093] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11094] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11094] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11095] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11096] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11097] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11098] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11098] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11099] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11100] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11101] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11101] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11102] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11103] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11104] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11104] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11105] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11106] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.11107] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11108] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.11108] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11109] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11110] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11111] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11111] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11112] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11113] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11114] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11115] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11116] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11116] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11117] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11118] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11119] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11119] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11120] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11121] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11122] Single Buffer requirement not met.
